pair,class,precision,recall,f1,accuracy_overall,cka
0 vs 4,T-shirt/top,0.9679,0.905,0.9354,0.9375,0.6975
0 vs 4,Coat,0.9108,0.97,0.9395,0.9375,0.6975
2 vs 3,Pullover,0.9055,0.92,0.9127,0.912,0.7006
2 vs 3,Dress,0.9187,0.904,0.9113,0.912,0.7006
7 vs 9,Sneaker,0.9419,0.94,0.9409,0.941,0.315
7 vs 9,Ankle boot,0.9401,0.942,0.9411,0.941,0.315
0 vs 7,T-shirt/top,0.9927,0.951,0.9714,0.972,0.2583
0 vs 7,Sneaker,0.953,0.993,0.9726,0.972,0.2583
